Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
2026-07-30T18:46:03.716Z,Included,composer-2.5,No,0,72723,241837,194,314754,Included
2026-07-30T18:21:02.473Z,Included,composer-2.5,No,0,8930,597456,2840,609226,Included
2026-07-30T18:13:39.039Z,Included,composer-2.5,No,0,25361,394871,10383,430615,Included
2026-07-30T17:57:03.571Z,Included,composer-2.5,No,0,219561,1274855,8328,1502744,Included
2026-07-30T17:32:55.483Z,Included,cursor-grok-4.5-high,No,0,36636,3510144,25407,3572187,Included
2026-07-30T17:30:39.287Z,Included,cursor-grok-4.5-high,No,0,2855,278528,4066,285449,Included
2026-07-30T17:28:44.158Z,Included,cursor-grok-4.5-high,No,0,122,139264,3554,142940,Included
2026-07-30T17:26:22.645Z,Included,cursor-grok-4.5-high,No,0,5848,267264,2392,275504,Included
2026-07-30T17:21:27.368Z,Included,cursor-grok-4.5-high,No,0,14945,245248,2323,262516,Included
2026-07-30T17:15:05.551Z,Included,cursor-grok-4.5-high,No,0,140107,498048,7583,645738,Included
2026-07-30T17:14:40.171Z,Included,cursor-grok-4.5-high,No,0,120884,440704,3299,564887,Included
2026-07-30T16:44:30.922Z,Included,composer-2.5,No,0,2281,308711,1838,312830,Included
2026-07-30T16:43:26.072Z,Included,composer-2.5,No,0,97741,108811,543,207095,Included
2026-07-30T16:37:08.495Z,Included,composer-2.5,No,0,12255,1045370,10930,1068555,Included
2026-07-30T16:30:46.772Z,Included,composer-2.5,No,0,5124,349986,4019,359129,Included
2026-07-30T16:28:21.670Z,Included,composer-2.5,No,0,5803,414454,5962,426219,Included
2026-07-30T16:26:49.101Z,Included,composer-2.5,No,0,4043,155411,267,159721,Included
2026-07-30T16:22:03.681Z,Included,composer-2.5,No,0,97390,790851,15460,903701,Included
2026-07-30T16:19:11.760Z,Included,composer-2.5,No,0,36507,662653,4511,703671,Included
2026-07-30T16:18:19.702Z,Included,composer-2.5,No,0,350340,12874,2205,365419,Included
2026-07-30T15:25:38.631Z,Included,composer-2.5,No,0,755,361199,1625,363579,Included
2026-07-30T15:14:39.068Z,Included,composer-2.5,No,0,343255,724007,1155,1068417,Included
2026-07-30T14:59:35.216Z,Included,cursor-grok-4.5-high,No,0,198462,2388736,16006,2603204,Included
2026-07-30T14:43:48.237Z,Included,composer-2.5,No,0,41787,2184995,22611,2249393,Included
2026-07-30T14:42:34.726Z,Included,cursor-grok-4.5-high,No,0,3159,640256,1934,645349,Included
2026-07-30T14:42:32.325Z,Included,composer-2.5,No,0,4476,482184,2672,489332,Included
2026-07-30T14:37:45.819Z,Included,cursor-grok-4.5-high,No,0,16348,1051776,10578,1078702,Included
2026-07-30T14:37:36.315Z,Included,composer-2.5,No,0,38210,785376,7960,831546,Included
2026-07-30T14:36:47.479Z,Included,composer-2.5,No,0,8189,6425,137,14751,Included
2026-07-30T14:36:38.839Z,Included,cursor-grok-4.5-high,No,0,89,143616,3511,147216,Included
2026-07-30T14:28:08.154Z,Included,cursor-grok-4.5-high,No,0,62018,239616,5719,307353,Included
2026-07-30T14:27:39.512Z,Included,cursor-grok-4.5-high,No,0,237310,1191296,20821,1449427,Included
2026-07-30T13:08:58.195Z,Included,composer-2.5,No,0,848,95966,374,97188,Included
2026-07-30T13:04:06.459Z,Included,composer-2.5,No,0,6025,272278,835,279138,Included
2026-07-30T12:08:56.074Z,Included,composer-2.5,No,0,83501,361674,764,445939,Included
2026-07-30T10:38:48.808Z,Included,composer-2.5,No,0,81447,1014410,3101,1098958,Included
2026-07-30T10:20:06.509Z,Included,cursor-grok-4.5-high,No,0,1230,85888,167,87285,Included
2026-07-30T09:18:39.797Z,Included,cursor-grok-4.5-high,No,0,809995,3746816,44807,4601618,Included
2026-07-30T09:14:41.854Z,Included,kimi-k3-max,No,0,212741,574464,7817,795022,Included
2026-07-30T09:12:23.965Z,Included,kimi-k3-max,No,0,189598,0,395,189993,Included
2026-07-30T09:01:45.187Z,Included,composer-2.5,No,0,8843,691703,8013,708559,Included
2026-07-30T08:49:40.417Z,Included,composer-2.5,No,0,3387,336564,364,340315,Included
2026-07-30T08:44:12.900Z,Included,composer-2.5,No,0,1349,166123,1460,168932,Included
2026-07-30T08:38:16.832Z,Included,composer-2.5,No,0,9802,1127881,3684,1141367,Included
2026-07-30T08:29:36.715Z,Included,composer-2.5,No,0,149906,316841,1554,468301,Included
2026-07-30T07:56:40.895Z,Included,cursor-grok-4.5-high,No,0,1104,177408,158,178670,Included
2026-07-30T06:32:45.425Z,Included,cursor-grok-4.5-high,No,0,344156,1225472,2262,1571890,Included
2026-07-30T05:35:40.093Z,Included,cursor-grok-4.5-high,No,0,179695,2811648,11169,3002512,Included
2026-07-30T05:30:43.052Z,Included,cursor-grok-4.5-high,No,0,291971,1730560,14573,2037104,Included
2026-07-30T05:24:40.701Z,Included,cursor-grok-4.5-high,No,0,137931,1735296,20529,1893756,Included
2026-07-30T05:23:48.036Z,Included,cursor-grok-4.5-high,No,0,19727,162432,897,183056,Included
2026-07-30T05:21:50.061Z,Included,cursor-grok-4.5-high,No,0,231588,164480,3291,399359,Included
2026-07-30T05:04:42.347Z,Included,cursor-grok-4.5-high,No,0,3606,71296,825,75727,Included
2026-07-30T05:03:26.852Z,Included,cursor-grok-4.5-high,No,0,71592,232960,4072,308624,Included
2026-07-30T05:03:06.100Z,Included,cursor-grok-4.5-high,No,0,65626,205952,2154,273732,Included
2026-07-29T18:37:35.373Z,Included,cursor-grok-4.5-high,No,0,586,59392,107,60085,Included
2026-07-29T18:37:15.809Z,Included,cursor-grok-4.5-high,No,0,13,59392,325,59730,Included
2026-07-29T18:31:34.398Z,Included,cursor-grok-4.5-high,No,0,113878,607232,6976,728086,Included
2026-07-29T14:02:27.186Z,Included,cursor-grok-4.5-high,No,0,27145,77440,577,105162,Included
2026-07-29T13:17:30.475Z,Included,cursor-grok-4.5-high,No,0,380962,3594240,17274,3992476,Included
2026-07-29T11:55:30.405Z,Included,cursor-grok-4.5-high,No,0,302,209664,83,210049,Included
2026-07-29T11:55:10.175Z,Included,cursor-grok-4.5-high,No,0,2517,625024,702,628243,Included
2026-07-29T11:53:25.626Z,Included,cursor-grok-4.5-high,No,0,406427,413184,2271,821882,Included
2026-07-29T10:32:10.464Z,Included,cursor-grok-4.5-high,No,0,198261,2066560,23192,2288013,Included
2026-07-29T10:19:22.626Z,Included,cursor-grok-4.5-high,No,0,1603,327424,217,329244,Included
2026-07-29T10:09:27.545Z,Included,cursor-grok-4.5-high,No,0,64469,3694592,33026,3792087,Included
2026-07-29T10:08:49.068Z,Included,cursor-grok-4.5-high,No,0,2278,197760,238,200276,Included
2026-07-29T10:00:08.577Z,Included,cursor-grok-4.5-high,No,0,6101,479872,1450,487423,Included
2026-07-29T09:56:04.703Z,Included,cursor-grok-4.5-high,No,0,4545,269184,1983,275712,Included
2026-07-29T09:47:09.505Z,Included,cursor-grok-4.5-high,No,0,1331,175488,143,176962,Included
2026-07-29T09:43:36.052Z,Included,cursor-grok-4.5-high,No,0,87729,908928,4109,1000766,Included
2026-07-29T08:40:44.707Z,Included,cursor-grok-4.5-high,No,0,74349,423680,1523,499552,Included
2026-07-28T16:21:01.101Z,Included,cursor-grok-4.5-high,No,0,1478,131968,180,133626,Included
2026-07-28T16:11:38.343Z,Included,cursor-grok-4.5-high,No,0,67679,1873152,20854,1961685,Included
2026-07-28T16:08:31.598Z,Included,cursor-grok-4.5-high,No,0,7425,48256,832,56513,Included
2026-07-28T16:01:18.559Z,Included,cursor-grok-4.5-high,No,0,21825,19584,1603,43012,Included
2026-07-28T15:33:10.274Z,Included,cursor-grok-4.5-high,No,0,247046,3337600,13227,3597873,Included
2026-07-28T15:31:36.149Z,Included,cursor-grok-4.5-high,No,0,71,210816,1367,212254,Included
2026-07-28T15:30:07.578Z,Included,cursor-grok-4.5-high,No,0,71,210816,1330,212217,Included
2026-07-28T15:25:50.568Z,Included,cursor-grok-4.5-high,No,0,17057,1405696,10927,1433680,Included
2026-07-28T15:12:28.802Z,Included,cursor-grok-4.5-high,No,0,11439,750080,2892,764411,Included
2026-07-28T14:51:07.879Z,Included,cursor-grok-4.5-high,No,0,179956,184448,843,365247,Included
2026-07-28T12:49:58.685Z,Included,cursor-grok-4.5-high,No,0,1092,360448,291,361831,Included
2026-07-28T11:23:16.917Z,Included,cursor-grok-4.5-high,No,0,178146,1586816,2502,1767464,Included
2026-07-28T09:45:40.569Z,Included,cursor-grok-4.5-high,No,0,100854,239104,7558,347516,Included
2026-07-28T09:45:13.504Z,Included,cursor-grok-4.5-high,No,0,217101,4401408,18249,4636758,Included
2026-07-28T09:24:52.940Z,Included,cursor-grok-4.5-high,No,0,160253,1600512,13295,1774060,Included
2026-07-28T09:15:08.547Z,Included,cursor-grok-4.5-high,No,0,64681,112384,3449,180514,Included
2026-07-28T09:14:30.780Z,Included,cursor-grok-4.5-high,No,0,5775,267008,2279,275062,Included
2026-07-28T08:54:21.030Z,Included,cursor-grok-4.5-high,No,0,150138,860032,14220,1024390,Included
2026-07-28T08:38:18.511Z,Included,cursor-grok-4.5-high,No,0,347317,1428480,21493,1797290,Included
2026-07-28T08:08:40.570Z,Included,cursor-grok-4.5-high,No,0,225936,1929600,20289,2175825,Included
2026-07-28T07:48:02.854Z,Included,cursor-grok-4.5-high,No,0,9904,767616,6174,783694,Included
2026-07-28T07:36:12.264Z,Included,cursor-grok-4.5-high,No,0,187479,1431936,11868,1631283,Included
2026-07-28T05:23:18.049Z,Included,cursor-grok-4.5-high,No,0,165208,1304704,8053,1477965,Included
2026-07-27T22:00:32.635Z,Included,cursor-grok-4.5-high,No,0,378,155008,120,155506,Included
2026-07-27T22:00:20.031Z,Included,cursor-grok-4.5-high,No,0,1645,307712,236,309593,Included
2026-07-27T21:49:47.945Z,Included,cursor-grok-4.5-high,No,0,267149,4140672,33289,4441110,Included
2026-07-27T21:41:21.394Z,Included,cursor-grok-4.5-high,No,0,4727,184576,2244,191547,Included
2026-07-27T21:32:33.998Z,Included,cursor-grok-4.5-high,No,0,9206,431616,5270,446092,Included
2026-07-27T21:05:10.860Z,Included,cursor-grok-4.5-high,No,0,65268,509568,11288,586124,Included
2026-07-27T21:04:42.097Z,Included,cursor-grok-4.5-high,No,0,78568,216448,3116,298132,Included
2026-07-27T18:43:44.954Z,Included,cursor-grok-4.5-high,No,0,194983,2103168,21743,2319894,Included
2026-07-27T18:31:25.331Z,Included,cursor-grok-4.5-high,No,0,224703,2432,808,227943,Included
2026-07-27T18:05:50.537Z,Included,cursor-grok-4.5-high,No,0,383,226304,68,226755,Included
2026-07-27T18:00:04.210Z,Included,cursor-grok-4.5-high,No,0,5601,1114624,1909,1122134,Included
2026-07-27T17:53:56.905Z,Included,cursor-grok-4.5-high,No,0,220925,1284608,5586,1511119,Included
2026-07-27T17:31:29.816Z,Included,cursor-grok-4.5-high,No,0,116629,280320,6446,403395,Included
2026-07-27T17:30:44.099Z,Included,cursor-grok-4.5-high,No,0,204546,605440,1917,811903,Included
2026-07-27T16:16:27.985Z,Included,cursor-grok-4.5-high,No,0,459,196992,95,197546,Included
2026-07-27T15:55:50.552Z,Included,cursor-grok-4.5-high,No,0,389128,592256,911,982295,Included
2026-07-27T10:00:22.491Z,Included,cursor-grok-4.5-high,No,0,58936,185856,3985,248777,Included
2026-07-27T09:59:45.672Z,Included,cursor-grok-4.5-high,No,0,190655,193920,1098,385673,Included
2026-07-27T04:41:14.075Z,Included,cursor-grok-4.5-high,No,0,5571,743936,3480,752987,Included
2026-07-27T04:40:15.577Z,Included,cursor-grok-4.5-high,No,0,3787,180992,804,185583,Included
2026-07-27T04:36:24.472Z,Included,cursor-grok-4.5-high,No,0,180203,2176,2011,184390,Included
2026-07-27T04:27:05.978Z,Included,cursor-grok-4.5-high,No,0,4178,535936,2505,542619,Included
2026-07-27T04:23:45.252Z,Included,cursor-grok-4.5-high,No,0,176206,175744,1764,353714,Included
2026-07-27T03:18:17.678Z,Included,cursor-grok-4.5-high,No,0,7513,506880,1683,516076,Included
2026-07-27T03:17:14.993Z,Included,composer-2.5,No,0,65179,269324,1320,335823,Included
2026-07-27T03:12:06.202Z,Included,cursor-grok-4.5-high,No,0,167750,495616,11622,674988,Included
2026-07-27T02:58:36.407Z,Included,cursor-grok-4.5-high,No,0,156349,319488,595,476432,Included
2026-07-26T17:58:18.831Z,Included,cursor-grok-4.5-high,No,0,79818,477696,7388,564902,Included
2026-07-26T17:58:11.254Z,Included,cursor-grok-4.5-high,No,0,7290,452864,1848,462002,Included
2026-07-26T17:32:42.688Z,Included,cursor-grok-4.5-high,No,0,149154,146048,810,296012,Included
2026-07-26T17:30:10.719Z,Included,cursor-grok-4.5-high,No,0,911,290816,194,291921,Included
2026-07-26T17:07:49.175Z,Included,cursor-grok-4.5-high,No,0,143547,1281536,2740,1427823,Included
2026-07-26T15:35:14.975Z,Included,cursor-grok-4.5-high,No,0,136506,274304,1013,411823,Included
2026-07-26T14:23:02.650Z,Included,cursor-grok-4.5-high,No,0,133561,135168,1040,269769,Included
2026-07-26T12:11:41.577Z,Included,cursor-grok-4.5-high,No,0,133499,131840,634,265973,Included
2026-07-26T11:32:10.143Z,Included,cursor-grok-4.5-high,No,0,2015,391296,751,394062,Included
